"","chr22"
"876",4365
"877",4366
"878",4369
"879",4384
"880",4386
"881",4390
"882",4391
"883",4393
"884",4397
"885",4398
"886",4399
"887",4402
"888",4407
"889",4408
"890",4419
"891",4422
"892",4423
"893",4435
"894",4441
"895",4442
"896",4448
"897",4453
"898",4458
"899",4462
"900",4465
"901",4466
"902",4472
"903",4480
"904",4489
"905",4495
"906",4526
"907",4527
"908",4529
"909",4531
"910",4535
"911",4546
"912",4550
"913",4551
"914",4558
"915",4561
"916",4565
"917",4567
"918",4569
"919",4570
"920",4574
"921",4577
"922",4581
"923",4590
"924",4593
"925",4609
"926",4611
"927",4612
"928",4614
"929",4615
"930",4630
"931",4634
"932",4635
"933",4639
"934",4647
"935",4649
"936",4651
"937",4652
"938",4667
"939",4669
"940",4671
"941",4679
"942",4687
"943",4689
"944",4694
"945",4695
"946",4699
"947",4720
"948",4721
"949",4729
"950",4731
"951",4732
"952",4740
"953",4741
"954",4742
"955",4743
"956",4753
"957",4757
"958",4768
"959",4777
"960",4785
"961",4791
"962",4793
"963",4795
"964",4800
"965",4801
"966",4804
"967",4806
"968",4807
"969",4810
"970",4820
"971",4828
"972",4835
"973",4839
"974",4841
"975",4846
"976",4851
"977",4853
"978",4859
"979",4876
"980",4890
"981",4897
"982",4900
"983",4907
"984",4915
"985",4920
"986",4952
"987",4960
"988",4978
"989",4981
"990",4997
"991",5006
"992",5014
"993",5017
"994",5029
"995",5031
"996",5045
"997",5048
"998",5068
"999",5071
"1000",5074
"1001",5076
"1002",5107
"1003",5109
"1004",5113
"1005",5124
"1006",5126
"1007",5138
"1008",5142
"1009",5157
"1010",5159
"1011",5160
"1012",5174
"1013",5175
"1014",5181
"1015",5185
"1016",5192
"1017",5198
"1018",5227
"1019",5231
"1020",5248
"1021",5252
"1022",5273
"1023",5275
"1024",5283
"1025",5285
"1026",5290
"1027",5293
"1028",5301
"1029",5304
"1030",5308
"1031",5313
"1032",5317
"1033",5321
"1034",5326
"1035",5328
"1036",5334
"1037",5337
"1038",5343
"1039",5349
"1040",5367
"1041",5379
"1042",5388
"1043",5395
"1044",5396
"1045",5404
"1046",5416
"1047",5421
"1048",5430
"1049",5431
"1050",5441
"1051",5449
"1052",5464
"1053",5469
"1054",5514
"1055",5518
"1056",5537
"1057",5538
"1058",5545
"1059",5546
"1060",5561
"1061",5582
"1062",5584
"1063",5587
"1064",5594
"1065",5598
"1066",5602
"1067",5610
"1068",5611
"1069",5624
"1070",5634
"1071",5644
"1072",5672
"1073",5674
"1074",5679
"1075",5684
"1076",5689
"1077",5693
"1078",5710
"1079",5717
"1080",5719
"1081",5732
"1082",5737
"1083",5742
"1084",5753
"1085",5754
"1086",5758
"1087",5759
"1088",5767
"1089",5772
"1090",5783
"1091",5786
"1092",5793
"1093",5798
"1094",5823
"1095",5836
"1096",5846
"1097",5849
"1098",5854
"1099",5864
"1100",5865
"1101",5870
"1102",5876
"1103",5887
"1104",5888
"1105",5890
"1106",5894
"1107",5897
"1108",5901
"1109",5907
"1110",5910
"1111",5914
"1112",5924
"1113",5930
"1114",5934
"1115",5941
"1116",5942
"1117",5944
"1118",5950
"1119",5951
"1120",5971
"1121",5975
"1122",5980
"1123",5995
"1124",6007
"1125",6014
"1126",6017
"1127",6033
"1128",6034
"1129",6036
"1130",6044
"1131",6046
"1132",6048
"1133",6055
"1134",6058
"1135",6062
"1136",6075
"1137",6094
"1138",6095
"1139",6105
"1140",6114
"1141",6115
"1142",6119
"1143",6131
"1144",6145
"1145",6169
"1146",6179
"1147",6180
"1148",6181
"1149",6182
"1150",6183
"1151",6203
"1152",6211
"1153",6213
"1154",6230
"1155",6240
"1156",6255
"1157",6262
"1158",6263
"1159",6272
"1160",6277
"1161",6280
"1162",6286
"1163",6305
"1164",6306
"1165",6312
"1166",6325
"1167",6328
"1168",6348
"1169",6362
"1170",6372
"1171",6377
"1172",6382
"1173",6402
"1174",6407
"1175",6408
"1176",6411
"1177",6416
"1178",6432
"1179",6449
"1180",6458
"1181",6461
"1182",6462
"1183",6464
"1184",6469
"1185",6471
"1186",6480
"1187",6482
"1188",6484
"1189",6497
"1190",6499
"1191",6500
"1192",6513
"1193",6514
"1194",6519
"1195",6561
"1196",6564
"1197",6572
"1198",6582
"1199",6591
"1200",6599
"1201",6611
"1202",6618
"1203",6623
"1204",6624
"1205",6630
"1206",6639
"1207",6640
"1208",6643
"1209",6644
"1210",6654
"1211",6671
"1212",6684
"1213",6685
"1214",6688
"1215",6690
"1216",6705
"1217",6707
"1218",6709
"1219",6710
"1220",6718
"1221",6738
"1222",6753
"1223",6763
"1224",6769
"1225",6770
"1226",6771
"1227",6775
"1228",6776
"1229",6778
"1230",6786
"1231",6793
"1232",6811
"1233",6813
"1234",6817
"1235",6823
"1236",6824
"1237",6827
"1238",6835
"1239",6839
"1240",6859
"1241",6867
"1242",6869
"1243",6878
"1244",6879
"1245",6881
"1246",6884
"1247",6885
"1248",6889
"1249",6901
"1250",6910
"1251",6919
"1252",6920
"1253",6922
"1254",6925
"1255",6936
"1256",6943
"1257",6952
"1258",6957
"1259",6965
"1260",6990
"1261",7003
"1262",7006
"1263",7022
"1264",7031
"1265",7053
"1266",7064
"1267",7079
"1268",7083
"1269",7084
"1270",7102
"1271",7104
"1272",7107
"1273",7111
"1274",7113
"1275",7114
"1276",7134
"1277",7144
"1278",7146
"1279",7150
"1280",7151
"1281",7152
"1282",7155
"1283",7159
"1284",7189
"1285",7195
"1286",7196
"1287",7200
"1288",7202
"1289",7204
"1290",7212
"1291",7215
"1292",7227
"1293",7230
"1294",7238
"1295",7241
"1296",7246
"1297",7249
"1298",7254
"1299",7257
"1300",7263
"1301",7264
"1302",7265
"1303",7269
"1304",7272
"1305",7278
"1306",7290
"1307",7292
"1308",7295
"1309",7296
"1310",7308
"1311",7311
"1312",7312
"1313",7314
"1314",7315
"1315",7328
"1316",7335
"1317",7337
"1318",7342
"1319",7349
"1320",7380
"1321",7384
"1322",7388
"1323",7389
"1324",7394
"1325",7395
"1326",7397
"1327",7401
"1328",7405
"1329",7406
"1330",7408
"1331",7410
"1332",7412
"1333",7414
"1334",7418
"1335",7427
"1336",7431
"1337",7432
"1338",7433
"1339",7434
"1340",7436
"1341",7437
"1342",7440
"1343",7441
"1344",7443
"1345",7452
"1346",7459
"1347",7462
"1348",7471
"1349",7472
"1350",7475
"1351",7478
"1352",7485
"1353",7495
"1354",7499
"1355",7515
"1356",7525
"1357",7528
"1358",7533
"1359",7544
"1360",7549
"1361",7555
"1362",7563
"1363",7588
"1364",7594
"1365",7596
"1366",7615
"1367",7618
"1368",7622
"1369",7627
"1370",7632
"1371",7633
"1372",7636
"1373",7639
"1374",7641
"1375",7649
"1376",7652
"1377",7654
"1378",7656
"1379",7663
"1380",7664
"1381",7675
"1382",7679
"1383",7685
"1384",7686
"1385",7706
"1386",7713
"1387",7721
"1388",7728
"1389",7738
"1390",7758
"1391",7763
"1392",7772
"1393",7775
"1394",7776
"1395",7782
"1396",7784
"1397",7801
"1398",7828
"1399",7832
"1400",7840
"1401",7844
"1402",7846
"1403",7854
"1404",7860
"1405",7868
"1406",7883
"1407",7892
"1408",7906
"1409",7910
"1410",7915
"1411",7918
"1412",7924
"1413",7948
"1414",7950
"1415",7955
"1416",7957
"1417",7960
"1418",7962
"1419",7968
"1420",7980
"1421",7982
"1422",7996
"1423",8006
"1424",8012
"1425",8015
"1426",8031
"1427",8034
"1428",8038
"1429",8041
"1430",8049
"1431",8055
"1432",8056
"1433",8060
"1434",8062
"1435",8071
"1436",8080
"1437",8081
"1438",8090
"1439",8092
"1440",8097
"1441",8099
"1442",8107
"1443",8109
"1444",8112
"1445",8118
"1446",8134
"1447",8141
"1448",8150
"1449",8154
"1450",8157
"1451",8167
"1452",8176
"1453",8181
"1454",8188
"1455",8195
"1456",8196
"1457",8201
"1458",8206
"1459",8208
"1460",8219
"1461",8220
"1462",8223
"1463",8226
"1464",8231
"1465",8238
"1466",8241
"1467",8243
"1468",8244
"1469",8245
"1470",8247
"1471",8249
"1472",8252
"1473",8258
"1474",8260
"1475",8264
"1476",8271
"1477",8272
"1478",8278
"1479",8279
"1480",8280
"1481",8287
"1482",8291
"1483",8304
"1484",8307
"1485",8308
"1486",8311
"1487",8316
"1488",8324
"1489",8342
"1490",8348
"1491",8358
"1492",8362
"1493",8374
"1494",8375
"1495",8377
"1496",8381
"1497",8397
"1498",8411
"1499",8415
"1500",8416
"1501",8417
"1502",8419
"1503",8421
"1504",8436
"1505",8443
"1506",8453
"1507",8461
"1508",8463
"1509",8487
"1510",8492
"1511",8493
"1512",8497
"1513",8500
"1514",8501
"1515",8502
"1516",8509
"1517",8513
"1518",8524
"1519",8525
"1520",8526
"1521",8527
"1522",8548
"1523",8565
"1524",8568
"1525",8570
"1526",8571
"1527",8573
"1528",8582
"1529",8587
"1530",8592
"1531",8601
"1532",8610
"1533",8616
"1534",8620
"1535",8630
"1536",8648
"1537",8650
"1538",8663
"1539",8666
"1540",8677
"1541",8693
"1542",8694
"1543",8708
"1544",8711
"1545",8722
"1546",8732
"1547",8741
"1548",8743
"1549",8745
"1550",8761
"1551",8763
"1552",8770
"1553",8771
"1554",8774
"1555",8781
"1556",8783
"1557",8787
"1558",8791
"1559",8793
"1560",8798
"1561",8801
"1562",8810
"1563",8812
"1564",8814
"1565",8818
"1566",8819
"1567",8826
"1568",8834
"1569",8836
"1570",8853
"1571",8857
"1572",8858
"1573",8863
"1574",8866
"1575",8869
"1576",8874
"1577",8876
"1578",8895
"1579",8910
"1580",8911
"1581",8916
"1582",8926
"1583",8933
"1584",8935
"1585",8937
"1586",8938
"1587",8953
"1588",8956
"1589",8960
"1590",8962
"1591",8965
"1592",8968
"1593",8972
"1594",8976
"1595",8982
"1596",8983
"1597",8987
"1598",8991
"1599",9003
"1600",9004
"1601",9005
"1602",9010
"1603",9013
"1604",9022
"1605",9027
"1606",9030
"1607",9032
"1608",9047
"1609",9053
"1610",9055
"1611",9067
"1612",9071
"1613",9076
"1614",9078
"1615",9081
"1616",9090
"1617",9093
"1618",9095
"1619",9096
"1620",9107
"1621",9111
"1622",9118
"1623",9119
"1624",9124
"1625",9128
"1626",9133
"1627",9136
"1628",9149
"1629",9153
"1630",9156
"1631",9162
"1632",9164
"1633",9165
"1634",9171
"1635",9191
"1636",9194
"1637",9201
"1638",9225
"1639",9235
"1640",9242
"1641",9245
"1642",9250
"1643",9267
"1644",9270
"1645",9279
"1646",9292
"1647",9294
"1648",9297
"1649",9307
"1650",9321
"1651",9322
"1652",9324
"1653",9338
"1654",9345
"1655",9354
"1656",9360
"1657",9366
"1658",9373
"1659",9376
"1660",9382
"1661",9383
"1662",9386
"1663",9387
"1664",9402
"1665",9403
"1666",9411
"1667",9413
"1668",9418
"1669",9421
"1670",9437
"1671",9441
"1672",9443
"1673",9459
"1674",9461
"1675",9465
"1676",9480
"1677",9483
"1678",9487
"1679",9500
"1680",9501
"1681",9503
"1682",9505
"1683",9508
"1684",9529
"1685",9538
"1686",9539
"1687",9542
"1688",9553
"1689",9555
"1690",9561
"1691",9565
"1692",9574
"1693",9579
"1694",9581
"1695",9589
"1696",9590
"1697",9591
"1698",9595
"1699",9600
"1700",9601
"1701",9605
"1702",9614
"1703",9615
"1704",9622
"1705",9630
"1706",9631
"1707",9633
"1708",9634
"1709",9639
"1710",9646
"1711",9652
"1712",9661
"1713",9662
"1714",9663
"1715",9665
"1716",9666
"1717",9668
"1718",9671
"1719",9685
"1720",9688
"1721",9691
"1722",9694
"1723",9696
"1724",9704
"1725",9715
"1726",9720
"1727",9723
"1728",9724
"1729",9725
"1730",9726
"1731",9728
"1732",9732
"1733",9736
"1734",9743
"1735",9744
"1736",9751
"1737",9754
"1738",9757
"1739",9760
"1740",9767
"1741",9769
"1742",9773
"1743",9775
"1744",9777
"1745",9780
"1746",9783
"1747",9784
"1748",9788
"1749",9791
"1750",9805
"1751",9808
"1752",9813
"1753",9823
"1754",9824
"1755",9828
"1756",9841
"1757",9849
"1758",9853
"1759",9855
"1760",9859
"1761",9865
"1762",9869
"1763",9870
"1764",9873
"1765",9875
"1766",9881
"1767",9882
"1768",9885
"1769",9892
"1770",9893
"1771",9901
"1772",9902
"1773",9905
"1774",9916
"1775",9917
"1776",9921
"1777",9926
"1778",9933
"1779",9937
"1780",9940
"1781",9953
"1782",9955
"1783",9956
"1784",9957
"1785",9958
"1786",9961
"1787",9968
"1788",9978
"1789",9991
"1790",10001
"1791",10006
"1792",10008
"1793",10015
"1794",10020
"1795",10021
"1796",10022
"1797",10026
"1798",10027
"1799",10028
"1800",10031
"1801",10035
"1802",10039
"1803",10042
"1804",10043
"1805",10048
"1806",10050
"1807",10052
"1808",10056
"1809",10057
"1810",10061
"1811",10064
"1812",10069
"1813",10072
"1814",10073
"1815",10075
"1816",10076
"1817",10081
"1818",10083
"1819",10086
"1820",10087
"1821",10089
"1822",10090
"1823",10094
"1824",10095
"1825",10104
"1826",10105
"1827",10111
"1828",10113
"1829",10114
"1830",10119
"1831",10125
"1832",10126
"1833",10127
"1834",10133
"1835",10134
"1836",10136
"1837",10137
"1838",10139
"1839",10148
"1840",10155
"1841",10158
"1842",10162
"1843",10165
"1844",10166
"1845",10169
"1846",10172
"1847",10176
"1848",10177
"1849",10185
"1850",10186
"1851",10192
"1852",10194
"1853",10196
"1854",10197
"1855",10199
"1856",10201
"1857",10205
"1858",10207
"1859",10211
"1860",10213
"1861",10218
"1862",10220
"1863",10227
"1864",10230
"1865",10237
"1866",10240
"1867",10244
"1868",10249
"1869",10251
"1870",10255
"1871",10257
"1872",10259
"1873",10266
"1874",10267
"1875",10268
"1876",10271
"1877",10275
"1878",10277
"1879",10281
"1880",10282
"1881",10286
"1882",10288
"1883",10289
"1884",10293
"1885",10295
"1886",10319
"1887",10331
"1888",10348
"1889",10360
"1890",10385
"1891",10386
"1892",10393
"1893",10397
"1894",10402
"1895",10406
"1896",10415
"1897",10434
"1898",10436
"1899",10437
"1900",10441
"1901",10442
"1902",10445
"1903",10454
"1904",10456
"1905",10461
"1906",10475
"1907",10501
"1908",10527
"1909",10544
"1910",10553
"1911",10563
"1912",10600
"1913",10602
"1914",10610
"1915",10620
"1916",10672
"1917",10683
"1918",10687
"1919",10691
"1920",10697
"1921",10703
"1922",10704
"1923",10707
"1924",10715
"1925",10729
"1926",10733
"1927",10737
"1928",10745
"1929",10750
"1930",10753
"1931",10759
"1932",10760
"1933",10763
"1934",10764
"1935",10786
"1936",10800
"1937",10808
"1938",10811
"1939",10819
"1940",10823
"1941",10869
"1942",10871
"1943",10875
"1944",10881
"1945",10886
"1946",10892
"1947",10897
"1948",10940
"1949",10956
"1950",10972
"1951",10986
"1952",10992
"1953",10996
"1954",11009
"1955",11010
"1956",11012
"1957",11016
"1958",11022
"1959",11023
"1960",11035
"1961",11036
"1962",11039
"1963",11062
"1964",11067
"1965",11079
"1966",11092
"1967",11096
"1968",11112
"1969",11131
"1970",11136
"1971",11141
"1972",11142
"1973",11147
"1974",11187
"1975",11189
"1976",11205
"1977",11209
"1978",11214
"1979",11288
"1980",11295
"1981",11304
"1982",11323
"1983",11324
"1984",11325
"1985",11335
"1986",11342
"1987",11351
"1988",11354
"1989",11361
"1990",11366
"1991",11383
"1992",11391
"1993",11392
"1994",11403
"1995",11405
"1996",11419
"1997",11431
"1998",11459
"1999",11472
"2000",11508
"2001",11514
"2002",11522
"2003",11526
"2004",11536
"2005",11543
"2006",11547
"2007",11553
"2008",11576
"2009",11578
"2010",11596
"2011",11603
"2012",11606
"2013",11608
"2014",11619
"2015",11621
"2016",11632
"2017",11634
"2018",11672
"2019",11678
"2020",11681
"2021",11708
"2022",11711
"2023",11712
"2024",11716
"2025",11731
"2026",11746
"2027",11756
"2028",11780
"2029",11788
"2030",11803
"2031",11816
"2032",11824
"2033",11829
"2034",11830
"2035",11838
"2036",11845
"2037",11854
"2038",11855
"2039",11860
"2040",11869
"2041",11899
"2042",11917
"2043",11918
"2044",11926
"2045",11939
"2046",11944
"2047",11972
"2048",11973
"2049",11980
"2050",11982
"2051",11990
"2052",12039
"2053",12049
"2054",12053
"2055",12062
"2056",12068
"2057",12081
"2058",12095
"2059",12097
"2060",12103
"2061",12107
"2062",12114
"2063",12121
"2064",12162
"2065",12167
"2066",12186
"2067",12201
"2068",12202
"2069",12203
"2070",12231
"2071",12237
"2072",12238
"2073",12246
"2074",12252
"2075",12260
"2076",12296
"2077",12299
"2078",12301
"2079",12310
"2080",12311
"2081",12313
"2082",12382
"2083",12387
"2084",12407
"2085",12409
"2086",12420
"2087",12435
"2088",12436
"2089",12438
"2090",12441
"2091",12443
"2092",12450
"2093",12454
"2094",12460
"2095",12464
"2096",12475
"2097",12486
"2098",12488
"2099",12498
"2100",12508
"2101",12512
"2102",12514
"2103",12515
"2104",12517
"2105",12523
"2106",12550
"2107",12554
"2108",12566
"2109",12573
"2110",12575
"2111",12588
"2112",12593
"2113",12596
"2114",12612
"2115",12615
"2116",12621
"2117",12629
"2118",12658
"2119",12660
"2120",12663
"2121",12676
"2122",12682
"2123",12684
"2124",12689
"2125",12690
"2126",12691
"2127",12697
"2128",12698
"2129",12703
"2130",12721
"2131",12737
"2132",12771
"2133",12783
"2134",12790
"2135",12812
"2136",12825
"2137",12827
"2138",12836
"2139",12838
"2140",12843
"2141",12846
"2142",12857
"2143",12858
"2144",12860
"2145",12876
"2146",12887
"2147",12902
"2148",12904
"2149",12909
"2150",12913
"2151",12915
"2152",12917
"2153",12918
"2154",12927
"2155",12930
"2156",12934
"2157",12937
"2158",12942
"2159",12954
"2160",12960
"2161",12964
"2162",12965
"2163",12966
"2164",12975
"2165",12976
"2166",12979
"2167",12988
"2168",12999
"2169",13001
"2170",13005
"2171",13006
